Crakehill,Skip Bridge,Westwick,Arkengarthdale,East Cowton,Malham Tarn,Snaizeholme,Skelton
19.2,18.4,14.4,30.4,8.28,3.1,8.48,18.55
0,0,0,0,8.4,3.36,9.49,19.22
0,0,0,0,8.02,3.16,8.93,20.78
24,32,25.6,24,8.85,4.27,9.18,20.21
7.2,4.8,34.4,10.4,9.11,3.81,9.54,21.15
0,0,0,0,8.26,3.19,8.29,22.53
4.8,6.4,26.4,16.8,7.55,2.96,7.87,20.07
17.6,2.4,19.2,48.8,7.54,3.39,11.42,18.18
6.4,0.8,11.2,18,10.9,3.39,15.85,18.48
0,0,0,0,8.62,2.85,12.47,28.35
0,0,0,0,7.33,2.65,9.31,24.66
0,2.4,0,0,6.66,2.54,7.69,19.59
0.8,5.6,0,0.8,6.62,3.01,7.69,16.59
0.8,0,0,0,6.38,2.72,6.8,16.35
4.8,19.2,5.6,11.2,6.24,2.48,6.36,15.8
0,0,28.8,8.8,6.4,2.58,5.96,14.38
0,0,0,0,5.9,2.41,5.49,14.31
0,0,0,0,5.6,2.33,5.18,13.53
0,0,0,0,5.3,2.27,4.89,12.83
0.8,0,0,2.4,5.18,2.23,4.7,12.16
0,0,0,3.2,5.01,2.2,4.78,11.7
0,0,20,3.2,5.14,2.18,5.13,11.16
0.8,0,71.2,10.4,4.89,2.17,4.58,11.6
2.4,0,18.4,18.4,4.79,2.18,4.5,11.34
0,0,0,0,4.64,2.13,4.41,10.95
0,0,0,0,4.57,2.09,4.47,10.5
0,0,0,0,4.23,2.06,4.31,10.2
28.8,0,47.2,89.6,4.1,2.13,4.21,9.87
0,0,22.4,11.2,4.57,2.43,9.09,9.66
4.8,0,19.2,17.6,5.33,2.18,6.9,13.04
4,0,19.2,21.6,4.5,2.07,5.43,14.6
0,0,0,2.4,4.27,2.01,4.84,11.95
12,5.6,20,0.8,4.11,2,4.64,10.7
22.4,24.8,13.6,0,4.39,2.22,4.71,10.27
22.4,3.2,24,0,5.07,3.13,5.29,10.58
12,18.4,34.4,0,6.81,3.27,12.09,12.28
0,0,7.2,0,9.18,2.46,11.17,17.62
3.2,2.4,18.4,0,6.39,2.22,8.35,23.8
37.6,16,90.4,0,7.54,13.26,43.2,17.75
28.8,14,16.8,0,12.2,5.73,21,46.31
0,0,0,0,9.01,5.3,23.61,46.49
0,0,9.6,0,6.88,3.27,11.16,37.24
20.8,0,26.4,3.2,5.57,2.87,18.21,24.29
1.6,0,0.8,0,13.3,2.93,23.27,18.73
4,1.6,46,0,7.93,2.66,12.3,39.61
9.6,0,2.4,0,6.6,2.76,14.7,25.53
4,1.6,28,0,6.69,2.79,13.13,22.36
0,0,0,10.4,6.53,2.71,15.09,22.1
2.4,0,10.4,0,5.96,2.57,9.86,23.89
0,0,12.8,0,5.12,2.39,7.79,19.53
12.8,0,36.8,0,4.8,2.28,6.65,15.53
0,0,4,0,4.44,2.32,6.17,13.52
3.2,0,18.4,0,4.46,2.66,5.76,12.49
11.2,0,34.4,12,4.29,2.41,8.18,12.45
4.8,22.4,24.8,13.6,9.76,3.01,17.89,12.56
146.4,165.6,112.8,132.8,54.8,26.52,86.66,25.11
7.2,4.8,2.4,1.6,55.1,13.69,34.23,108
0.8,1.6,19.2,12,15.7,4.95,17.91,127.8
3.2,0.8,14.4,4.8,12.1,3.93,16.39,48.75
26.4,47.2,53.6,45.6,15.4,4.06,18.68,31.65
0,0,0.8,1.6,16.2,3.77,15.09,33.63
45.6,26.4,62.4,72.4,17.2,6.02,33.51,41.23
8.8,17.6,14.4,32.8,27.5,5.69,28.49,40.14
0,0,0,0,16,3.9,18.25,67.91
0,0,0,0,11.1,3.33,11.97,44.83
28,34,48,25.6,12.4,5.42,15.61,30.32
0,8,0,0,12.1,4.13,12.26,31.47
0,0,0,0,9.26,3.33,9.11,33
0,0,0,0,7.98,3.05,7.76,24.38
0,0,22.4,4,7.04,2.88,6.89,20.33
0,0,5.6,0.8,6.35,2.81,6.33,17.9
1.6,0,8,3.2,5.86,2.73,5.95,15.83
20.8,0,0,4.8,5.51,3.06,5.61,14.52
4,0.8,0,4,5.48,2.76,5.5,13.99
0,0,0,0,5.32,2.6,5.27,13.78
0,0,0,0,5.2,2.52,5.09,13.29
0,0,0,0,5,2.49,4.95,12.84
0,0,0,0,4.82,2.44,4.78,12.39
0,0,0.8,0,4.65,2.42,4.68,12.07
0,0,8,5.6,4.53,2.35,4.62,11.58
0,0,0,0,4.38,2.34,4.43,11.32
0,0,0,0,4.28,2.3,4.31,10.88
0,0,0.8,4,4.26,2.29,4.22,10.58
0,0,0,0,4.12,2.26,4.2,10.48
4.8,0,0,4.8,4.12,2.26,4.08,10.34
0,0,0,0,4.04,2.24,4.04,10.25
0,0,0,0,3.98,2.23,3.99,10.04
0,0,0,0,3.96,2.24,3.94,9.96
3.2,0,0,0,3.94,2.22,3.75,9.95
116.4,26.4,95.6,132.8,4.84,4.54,12.75,10.01
10.8,11.6,3.2,19.2,33.8,7.84,32.7,11.97
18.4,5.6,40.8,118,20.8,6.69,39.42,58.26
8,0,24,12.4,19.7,4.54,27.11,55.08
5.6,0,7.2,11.2,12.2,3.33,15.4,61.8
225.2,55.6,208.8,196.8,75.6,39.17,158.42,34.91
103.2,74.4,30.4,22.4,180,70.72,153.23,129
80,36.8,15.2,16.8,167,80.24,129.35,317.4
12,15.2,0,0,105,51.68,54.93,337.2
0,0,0,0,50,27.4,34.09,258.9
0,0,0,0,28.1,17.74,24.37,152.9
0,0,0.8,1.6,19.3,13.53,19.05,93.07
12.8,10.4,58.4,42.4,16.9,10.17,18.33,62.26
0.8,0,5.6,21.6,16.5,8.91,17.58,49.15
0,0,8.8,0.8,13.8,5.53,15.17,47.41
0,0,0.8,0,12.2,4.92,13.53,38.26
0,0,3.2,0,11.1,4.47,11.67,32
0,0,0.8,0.8,9.94,4.21,10.31,31
0,0,0,0,9.19,3.87,9.28,29.11
0,0,0,0,8.61,3.67,8.48,25.99
0,0,0,0,8.23,3.61,7.9,23.38
3.2,0.8,32.8,3.2,8.02,4.68,7.66,21.42
23.2,10.4,15.2,21.6,8.05,4.07,7.85,20.33
12.8,8.8,37.6,17.6,10.8,6.48,12.78,20.44
69.6,38.4,30.4,25.6,35.6,18.36,56,26.3
0,0,0,0,44.4,16.3,31.95,82.21
6.4,0.8,16,4,23,14.14,25.03,104.4
46.4,52.8,28.8,20.8,25.7,16.14,34.01,68.06
12.8,18.8,12.8,12,71.4,25.92,56.15,69.72
23.6,28.4,20.8,31.2,95.4,35.33,82.07,133.4
1.6,0,0.8,0.8,68.1,19.79,43.91,185
0,13.6,0,1.6,37.7,13.4,30.39,150.4
0.8,0,0.8,2.4,30.2,11.54,24.32,90.31
1.6,2.4,4,0,22.4,10.14,19.71,71.14
66.4,20.8,20.8,20,33.9,18.11,27.47,59.05
4.8,4.8,0,0,52,16.21,31.81,68.72
0,5.6,0.8,0.8,31.4,12.01,22.31,98.35
0,0,0,0.8,22.3,8.79,17.59,74.58
0,0,0,0,18.1,5.77,14.76,55.06
0,0,0,0.8,15.5,5.3,12.93,42.92
0,0,0.8,0,13.9,4.84,11.76,36.39
0,0,0.8,0.8,13,4.65,11.05,32.49
4,12,11.2,12.8,12.8,4.67,10.59,30.28
0,7.2,0.8,0.8,13.2,4.37,10.33,29.3
0,0.8,0,0,12.6,4.09,10.06,28.16
0,0,0,0,11.7,3.95,9.49,27.79
0.8,1.6,0.8,0,11,3.8,9.07,26.08
0,0,0,0,10.5,3.71,8.63,24.67
0,0,0,0,9.99,3.61,8.13,23.32
0,0,0,0,9.46,3.55,7.77,22.19
0,0,0,0,9.09,3.49,7.55,21.05
0,0,0,0,8.76,3.42,7.37,20.32
0.8,0,0,0,8.53,3.34,7.16,19.71
0,0,0,0,8.43,3.26,7.08,19.23
0,0,0.8,3.2,8.35,3.31,6.97,18.76
0,0,0,0,8.12,3.33,6.86,18.53
2.4,2.4,5.6,4,8.15,3.28,6.8,18.36
0,0,3.2,2.4,8.02,3.24,6.69,18
0,0,0,0,8,3.2,6.69,17.7
0,0,0.8,0.8,7.68,3.17,6.57,17.8
0.8,0,1.6,0,7.58,3.17,6.55,17.5
0,0,0,0.8,7.48,3.13,6.48,17.15
0,7.2,42.4,47.2,7.91,3.66,6.43,16.48
0,1.6,0.8,0,10.4,4.05,13.48,17.7
0,0,5.6,0,10.1,3.59,10.3,24.88
1.6,0,21.6,24.8,8.54,3.35,8.49,26.69
23.2,36,56,23.2,10.1,5.04,14.96,22.02
21.6,47.2,9.6,8,66.8,26.44,45.56,26.34
0,0,0,0,46.2,9.5,20.64,114.9
0,0,0,0,23.5,6.43,13.99,97.19
0,0,0,0,16.7,5.4,11.26,52.9
0,0,0,0,13.7,4.88,9.88,39.39
0,0,0.8,0,11.9,4.55,8.91,36
0,0,2.4,0,10.7,4.24,8.02,31.05
0,8,0.8,0,10.5,4.32,7.74,26
0,24.8,8.8,0,10.4,4.09,7.58,24.69
0,0,1.6,0,10.1,4.02,7.18,24.5
0,0,0,0,9.22,3.79,6.51,24.41
2.4,0,8.8,10,10.1,3.69,6.68,22.32
0,0,1.6,0,14.3,3.99,8.5,21.49
0,0,0,0,13.7,4.06,9.13,26.25
0,0,0,0,14.9,4.08,9.08,30.47
15.2,15.2,0,0,14.2,4.02,8.63,29.9
6.4,9.6,18.4,12.8,23,7.87,10.33,33.5
1.6,4,20.8,26.4,28.2,7.26,25,45.39
2.4,0,76,44,46,11.15,61.33,58.28
6.4,0,13.6,43.2,34.7,8.76,44.48,99.25
14.4,1.6,48,38.4,58.3,7.41,78.34,99.11
5.6,0,11.2,4,29.9,6.59,33.95,113.5
18.4,0,36.8,43.2,18.6,6.32,24.06,95.15
3.2,0,25.6,12.8,39.5,6.48,48,52.83
38.4,37.6,117.6,87.2,38.4,21.85,87.4,80.19
4,0,58.4,14.4,107,42.23,96.2,97.34
20,6.4,74.4,44.8,53.8,29.23,81.97,239
4.8,0,40.8,15.2,40.8,22.12,53.71,171.8
34.4,33.6,0,12.8,33,19.01,37.49,149.2
24.8,20,25.2,40.8,64.8,44.66,62.64,101
29.6,7.2,0,0,68,32.77,50.91,154.3
21.6,4.8,84.8,55.2,64.7,43.35,93.29,184.5
1.6,0,16.8,1.6,83.3,45.39,90.51,178.5
0,0,19.2,2.4,48,25.32,48.84,219.8
19.2,0,30.4,64.8,90.1,26.64,130.57,150.2
28.8,4,70.4,84,162,61.43,183.84,179.2
0,0,0,0,81.5,42.69,63.7,293.9
1.6,0,1.6,0,30.1,21.93,37.83,265.1
14.4,2.4,36,0,27.7,20.86,52.52,137.4
8.8,8,41.6,26.4,34.8,22.9,47.11,101.1
0.8,21.6,10.4,2.4,36.3,24.13,41.2,111.4
0,2.4,4,1.6,30.2,18.23,29.13,103.9
0,4,13.6,0,22.2,15.28,23.4,88.64
0,0,2.4,0,19.5,10.91,20.29,68.55
10.4,16.8,22.4,11.6,20.2,8.21,19.05,57.25
11.2,16,36.8,32,68.1,23.79,80.21,52.94
16.8,14.4,67.2,39.2,83.7,33.54,68.59,126.1
0,0,3.2,1.6,50.6,23.23,43.23,190.7
0.8,1.6,1.6,6.4,29.4,14.51,30.52,143.3
23.2,30.4,44,28.8,50.3,29.79,59.6,91.94
9.6,50.4,49.6,43.2,97.5,41.47,100.1,121.6
0,0,0.8,1.6,110,41.41,65.17,203.2
17.6,36.8,43.2,25.6,74.7,31.2,44.38,237.4
0,0,2.4,4.8,70.9,27.55,44.11,186.5
0,2.4,0,1.6,55.1,19.77,33.79,163.1
0,0.8,21.6,6.4,40.6,14.92,27.2,127.4
7.2,7.2,32,12.8,37.4,11.52,39.13,98.21
0,2.4,0.8,0,79.4,13.83,61.11,86.6
5.6,5.6,16.8,11.2,47.6,13.94,37.75,145.3
36,8.8,52,43.2,57.4,20.58,63.91,113.6
31.2,4.8,9.6,26.4,101,24.82,84.93,123
24.8,0,44,30.4,82.5,30.62,83.6,186.3
0.8,7.2,0.8,0,57.5,24.09,50.79,188.6
0,7.2,0,0,35.8,17.42,34.37,157.1
0,2.4,0,0.8,26.1,15.2,26.04,102.8
4,8,36,45.6,30.9,13.47,35.41,80.08
0,0,0,0.8,52.2,12.41,49.84,75.03
0,0,60,13.6,27.8,12.34,31.57,118.3
0,0,16,6.4,24.8,11.9,31.7,81.92
3.2,0,20,13.6,23.4,11.54,30.17,71.77
19.2,2.4,54.4,48.8,42.2,21.79,76.3,68.35
3.2,1.6,35.2,13.6,29.6,13.33,35.19,112.7
31.2,5.6,97.6,62.4,42.8,24.06,86.14,100.3
33.6,0.8,39.2,37.6,56.7,37.76,76.95,111.6
52,49.6,46.4,44,123,40.08,139.75,197.5
0,0,16.8,5.6,104,39.93,62.12,229.3
4.8,0,21.2,30.8,50.2,22.39,62.3,242.1
2.4,0,4,11.2,64.1,20.46,66.45,153
1.6,0,0.8,4,33.6,16.61,38.18,157.5
23.2,9.6,48.8,60,42.5,16.14,70.01,105.6
0,0,0,0.8,52.4,16.89,49.65,103.2
34.4,26.4,1.6,12.8,39.8,21.49,37.99,139.6
0,0,0,0,62.8,31.21,66.14,102.1
0.8,1.6,2.4,4.8,56.3,18.19,49.42,144.9
0,0.8,13.6,7.2,39,14.76,40.19,141.3
0,0,0.8,3.2,33.8,14.15,34.47,99.39
8,1.6,36.8,44.8,26,11.73,31.15,89.16
0,0,1.6,0,33.8,10.4,46.33,70.76
0,0,0.8,0,23.3,8.59,27.83,84.77
0,0,0,0,20,7.96,22.52,68.28
0,0,0,0,17.9,7.38,19.22,56.59
0,0,0,0,16.3,6.91,16.73,50.53
0,0,0,0,15,6.56,14.5,46.39
4,2.4,0,0,14.2,6.63,13.43,41.9
8,7.2,12,1.6,13.6,6.13,12.71,39.99
0,0,1.6,3.2,13.3,5.43,12.21,35.09
0,0,0,0,13.2,5.67,12.12,36.73
0,0,0,0,12.9,5.62,11.81,33.65
2.4,3.2,0,0,12.3,5.21,11.1,31.7
3.2,12,1.6,1.6,11.9,4.93,10.59,30.31
1.6,2.4,1.6,1.6,11.5,4.72,10.02,28.78
5.6,5.6,0,0,11.2,4.91,9.94,27.88
0.8,0,0,5.6,11.2,4.92,9.77,31.49
36.8,55.2,0,16,12.3,5.52,10.82,30.35
23.2,27.2,64.8,55.2,42.6,19.57,24.8,32.17
5.6,5.6,37.6,32.8,98,45.16,120.44,86.82
0.8,0.8,26.4,14.4,154,44.73,112.92,193.9
0,0,1.6,0,96.7,30.93,55.14,280.8
0,4,35.2,13.6,52.2,20.21,39.36,222.5
36,10.4,61.6,54.4,73.4,20.32,87.04,143.9
1.6,0,4.8,2.4,56.8,18.64,47.09,150.8
11.2,3.2,16,24,51.1,15.4,54.28,148.8
2.4,0,40.8,0,38.1,13.58,37.48,111.8
0.8,0,52,0,41,12.72,72.14,103.5
9.6,0,66.4,0,39.3,12.36,82.05,116.9
2.4,0,12,7.2,49.8,13.05,56.44,108.8
0,0,0,0,23.6,11.16,31.59,138.5
27.2,0,31.2,28.8,24,10.45,30.71,77.91
14.4,0,60,51.2,28.1,10.69,37.06,59.87
14.4,0,20,14.4,53.5,14.6,81.94,76.8
8.8,0,35.2,29.6,35.7,18.05,80.32,127.8
1.6,0,8,5.6,36.6,16.89,45.99,120.9
24.8,12.8,22.4,23.2,20.2,12.37,31.95,120.9
1.6,0,10.4,10.4,18,11.69,27.43,70.19
2.4,4,32,16.8,17.5,11,26.42,59.56
1.6,0,0.8,0,19.5,9.54,28.06,54.1
0.8,0,0,0.8,16.3,6.05,20.63,58.46
0,0,0,0,14.6,5.64,16.86,46.14
1.6,0,20,33.6,19.4,5.74,33.56,39.57
66.4,2.4,170.4,129.6,64.9,10.53,134.64,46.12
0.8,0,0,0.8,104,40.36,91.49,110
8.8,14.4,52,18.4,31.6,16.31,48.52,259.2
0,0,0,0,25.3,12.32,32.18,124
8.8,0.8,29.6,46.4,17.4,8.85,24.91,85.47
3.2,0,7.2,7.2,18,9.76,40.08,56.22
2.4,0,0,12.8,18,8.75,31.58,64.34
10.4,6.4,18.4,14.8,15.8,8.22,22.77,59.25
19.2,22.4,83.2,59.2,20,8.59,33.76,50.76
16,8.8,74.4,32,62.4,14.82,88.46,52.42
0.8,0,17.6,3.2,30.1,12.8,40.04,139.1
8.8,1.6,54.4,48.8,19.7,9.8,33.59,102.4
13.6,0.8,12.8,3.2,28.1,14.62,60.8,65.1
10.4,5.6,42.4,34.4,22.3,11.31,39.81,98.21
0,0,0,0.8,28.5,10.34,38.78,73.44
22.4,12.8,44.8,35.2,27,10.3,38.07,79.44
19.2,9.6,68.8,53.6,30.4,15.54,65.26,72.78
6.4,0,15.2,17.6,37.7,21.89,49.23,91.78
0,1.6,23.2,0,21.2,12.41,35.96,123.3
0,0,0.8,0.8,20.2,9.2,28.44,77.52
12.8,16,5.6,6.4,19,11.19,28.68,61.35
0,0,0,0,22.8,10.91,26.05,55.09
0,0,0,0,16.1,8.82,18.43,63.07
0.8,0,0.8,0,13.6,8.24,15.38,47.63
0.8,0,0,0,12.2,7.85,13.84,39.93
0,0,0.8,0.8,11.4,7.45,12.6,35.34
0,0,1.6,0,10.9,4.44,11.76,32.17
0,0,6.4,0.8,10.6,4.01,11.27,28.26
15.2,8,23.2,24,10.5,4.18,10.77,26.28
4,5.6,15.2,7.2,13.2,3.99,14.44,25.77
8.8,3.2,13.6,46.4,18,3.94,26.74,29.29
25.6,16.8,51.2,31.2,33.3,7,47.02,39.38
0,0,1.6,2.4,34.2,5.95,31.54,73.41
10.4,11.2,29.6,20,17.7,6.02,21.23,80.79
3.2,0,10.4,6.4,17.5,6.16,27.07,48.35
3.2,0,7.2,7.2,14.2,4.36,17.04,49.5
4,0,1.6,23.2,17.5,3.98,26.58,39.69
0,0,0,0,22.1,3.7,22.13,37.65
0,0,0,0,13.5,3.58,14.12,52.87
0,0,0,1.6,11.1,3.33,11.75,34.32
0.8,0,0,0,10.1,3.17,10.43,27.22
2.4,0,3.2,3.2,9.74,3.13,9.58,24.07
2.4,0,48,31.2,9.32,3.16,9.13,22.46
8,6.4,20.8,15.2,11.5,3.34,12.95,21.27
1.6,0,4,1.6,17.3,3.36,22.71,24.27
1.6,7.2,5.6,2.4,12.1,3.28,12.81,37.69
0,0,0,0,9.83,3.33,10.54,31.42
0,0,2.4,0,8.82,2.89,9.06,24.05
0,0,0,0,8.28,2.78,8.16,20.81
0,0,0,0,7.91,2.74,7.83,18.95
0,0,0,0,7.65,2.7,7.34,17.92
0,0,0,0,7.26,2.63,6.95,16.88
0,0,0,0,7.1,2.62,6.79,16.09
28,36,14.4,28,8.15,5.67,8.34,15.39
0,0,0.8,1.6,10.5,4.21,11.55,19.78
0,0,0,0,8.58,3.22,9.01,25.57
0,0,0,0,7.5,2.86,7.64,22.02
0,0,0,0,7.15,2.72,7.12,18.69
0,0,0,0,7.15,2.67,6.8,16.56
8.8,4.8,3.2,0,6.95,3.09,6.72,15.76
48.8,35.2,5.6,1.6,14.5,6.43,19.82,15.64
0,1.6,0.8,0,18.3,5.35,14,26.65
